A,B,C,D,answer
ROCOCO,ORNAMENTAL,POINTILLISM,realism;floral;dots;distortion,dots
superficiality;experience;superfluity;void,ETERNITY,SMIDGEN,MOMENT,superfluity
AFRICA,EUROPE,CHAD,Iran;China;Portugal;India),Portugal
NEURON,DENDRITE,tooth;cell;bone;hair,ENAMEL,tooth
ELECTRON,epidermis;cylinder;gluteus;vent,PROTON,CRATER,vent
rocks;plants;bacteria;organs,FERNS,ANIMALS,MAMMALS,plants
PULP,FRUIT,ANTENNA,sand;insect;cornmeal;reptile,insect
PICASSO,CUBISM,Aristotle;Mill;Sartre;Socrates,EXISTENTIALISM,Sartre
EDISON,Pascal;Aquinas;Hegel;Bell,ORWELL,FAULKNER,Bell
Taoism;Islam;Santeria;Hellenism,MONOTHEISTIC,HINDUISM,POLYTHEISTIC,Islam
ASTRONOMERS,ARCHAEOLOGISTS,CELSIUS,Leakey;Coltrane;Bach;Pissarro,Leakey
FLOWER,STAMEN,worm;lunula;wasp;invertebrate,THORAX,wasp
NONMETALS,anagrams;palindromes;articles;prepositions,HYDROGEN,OVER,prepositions
détente;civil;truce;treaty,WARS,DEMOCRATIC,GOVERNMENTS,civil
MANGO,PEACH,PECAN,carrot;spinach;pistachio;bean,pistachio
MEDULLA OBLONGATA,CONDENSATION,spinal cord;dermis;parietal lobe;cuticle,PRECIPITATION,spinal cord
SENTENCE,predicate;author;coefficient;page,STORY,CLIMAX,predicate
domestic;snakes;wild;bears,EAGLES,POLAR,BALD,bears
DEAD SEA,LAKES,ANTARCTICA,glaciers;continents;reservoirs;islands,continents
WHEEL,PULLEY,valve;piston;fulcrum;sump,LEVER,fulcrum
EMPIRICISM,symphony;opera;jazz;march,HUME,PARKER,jazz
quart;kelvin;ampere;mole,METER,FAHRENHEIT,KILOGRAM,quart
FUSELAGE,AIRLINER,SPOKES,pilot;street;bicycle;radar,bicycle
MANNING,EISENHOWER,athlete;philosopher;Tesla;entrepreneur,GENERAL,athlete
HOMES,offices;jazz;temples;rock,COLONIAL,GRUNGE,rock
saddle;bridge;bowl;spindle,LENS,CRYSTAL,DIAL,bridge
SAHARA,Indian;Ontario;Asia;Victoria,GOBI,ATLANTIC,Indian
